spa,msl,spa_n_caracteres,spa_n_palabras,spa_n_tokens_unicos,spa_longitud_media_palabra,spa_ratio_diversidad,msl_n_caracteres,msl_n_palabras,msl_n_tokens_unicos,msl_longitud_media_palabra,msl_ratio_diversidad,compresion_palabras,ratio_compresion,bin_long_spa
ellas son enojonas,ellas enojonas así,18.0,3.0,3.0,5.333333333333333,1.0,18.0,3.0,3.0,5.333333333333333,1.0,0.0,1.0,3 palabras
ustedes son enojones,ustedes enojones así,20.0,3.0,3.0,6.0,1.0,20.0,3.0,3.0,6.0,1.0,0.0,1.0,3 palabras
ustedes son enojonas,ustedes enojonas así,20.0,3.0,3.0,6.0,1.0,20.0,3.0,3.0,6.0,1.0,0.0,1.0,3 palabras
la niña es enojona,niño mujer enojona así,18.0,4.0,4.0,3.75,1.0,22.0,4.0,4.0,4.75,1.0,0.0,1.0,4 palabras
los niños son enojones,niño ellos enojones así,22.0,4.0,4.0,4.75,1.0,23.0,4.0,4.0,5.0,1.0,0.0,1.0,4 palabras
las niñas son enojonas,niño mujer ellas enojonas así,22.0,4.0,4.0,4.75,1.0,29.0,5.0,5.0,5.0,1.0,-1.0,1.25,4 palabras
el niño es enojón,niño enojon así,17.0,4.0,4.0,3.5,1.0,15.0,3.0,3.0,4.333333333333333,1.0,1.0,0.75,4 palabras
mi mamá es enojona,mamá mía enojona así,18.0,4.0,4.0,3.75,1.0,20.0,4.0,4.0,4.25,1.0,0.0,1.0,4 palabras
mi papá es enojón,papá mío enojón así,17.0,4.0,4.0,3.5,1.0,19.0,4.0,4.0,4.0,1.0,0.0,1.0,4 palabras
mi tía es enojona,tío mujer mía enojona así,17.0,4.0,4.0,3.5,1.0,25.0,5.0,5.0,4.2,1.0,-1.0,1.25,4 palabras
mi tío es enojón,tío mío enojón así,16.0,4.0,4.0,3.25,1.0,18.0,4.0,4.0,3.75,1.0,0.0,1.0,4 palabras
mi abuela es enojona,abuelo mujer mía enojona así,20.0,4.0,4.0,4.25,1.0,28.0,5.0,5.0,4.8,1.0,-1.0,1.25,4 palabras
mi abuelo es enojón,abuelo mío enojón así,19.0,4.0,4.0,4.0,1.0,21.0,4.0,4.0,4.5,1.0,0.0,1.0,4 palabras
mi amigo es enojón,amigo mío enojón así,18.0,4.0,4.0,3.75,1.0,20.0,4.0,4.0,4.25,1.0,0.0,1.0,4 palabras
mi amiga es enojona,amigo mujer enojona así,19.0,4.0,4.0,4.0,1.0,23.0,4.0,4.0,5.0,1.0,0.0,1.0,4 palabras
tu mamá es enojona,mamá tuya enojona así,18.0,4.0,4.0,3.75,1.0,21.0,4.0,4.0,4.5,1.0,0.0,1.0,4 palabras
tu papá es enojón,papá tuyo enojón así,17.0,4.0,4.0,3.5,1.0,20.0,4.0,4.0,4.25,1.0,0.0,1.0,4 palabras
tu tía es enojona,tío mujer tuya enojona así,17.0,4.0,4.0,3.5,1.0,26.0,5.0,5.0,4.4,1.0,-1.0,1.25,4 palabras
tu amiga es enojona,amiga tuya enojona así,19.0,4.0,4.0,4.0,1.0,22.0,4.0,4.0,4.75,1.0,0.0,1.0,4 palabras
tu amigo es enojón,amigo tuyo enojón así,18.0,4.0,4.0,3.75,1.0,21.0,4.0,4.0,4.5,1.0,0.0,1.0,4 palabras
tu tío es enojón,tío tuyo enojón así,16.0,4.0,4.0,3.25,1.0,19.0,4.0,4.0,4.0,1.0,0.0,1.0,4 palabras
tu abuela es enojona,abuelo mujer tuya enojona así,20.0,4.0,4.0,4.25,1.0,29.0,5.0,5.0,5.0,1.0,-1.0,1.25,4 palabras
tu abuelo es enojón,abuelo tuyo enojón así,19.0,4.0,4.0,4.0,1.0,22.0,4.0,4.0,4.75,1.0,0.0,1.0,4 palabras
tu prima es enojona,primo mujer tuya enojona así,19.0,4.0,4.0,4.0,1.0,28.0,5.0,5.0,4.8,1.0,-1.0,1.25,4 palabras
tu primo es enojón,primo tuyo enojón así,18.0,4.0,4.0,3.75,1.0,21.0,4.0,4.0,4.5,1.0,0.0,1.0,4 palabras
yo estoy enojado,yo enojado,16.0,3.0,3.0,4.666666666666667,1.0,10.0,2.0,2.0,4.5,1.0,1.0,0.6666666666666666,3 palabras
yo estoy enojada,yo enojada,16.0,3.0,3.0,4.666666666666667,1.0,10.0,2.0,2.0,4.5,1.0,1.0,0.6666666666666666,3 palabras
tú estás enojado,tú enojado,16.0,3.0,3.0,4.666666666666667,1.0,10.0,2.0,2.0,4.5,1.0,1.0,0.6666666666666666,3 palabras
él está enojado,él enojado,15.0,3.0,3.0,4.333333333333333,1.0,10.0,2.0,2.0,4.5,1.0,1.0,0.6666666666666666,3 palabras
ella está enojada,ella enojada,17.0,3.0,3.0,5.0,1.0,12.0,2.0,2.0,5.5,1.0,1.0,0.6666666666666666,3 palabras
ustedes están enojados,ustedes enojados,22.0,3.0,3.0,6.666666666666667,1.0,16.0,2.0,2.0,7.5,1.0,1.0,0.6666666666666666,3 palabras
nosotros estamos enojados,nosotros enojados,25.0,3.0,3.0,7.666666666666667,1.0,17.0,2.0,2.0,8.0,1.0,1.0,0.6666666666666666,3 palabras
ellos están enojados,ellos enojados,20.0,3.0,3.0,6.0,1.0,14.0,2.0,2.0,6.5,1.0,1.0,0.6666666666666666,3 palabras
ellas están enojadas,ellas enojadas,20.0,3.0,3.0,6.0,1.0,14.0,2.0,2.0,6.5,1.0,1.0,0.6666666666666666,3 palabras
ustedes están enojadas,ustedes enojadas,22.0,3.0,3.0,6.666666666666667,1.0,16.0,2.0,2.0,7.5,1.0,1.0,0.6666666666666666,3 palabras
ustedes están enojados,ustedes enojados,22.0,3.0,3.0,6.666666666666667,1.0,16.0,2.0,2.0,7.5,1.0,1.0,0.6666666666666666,3 palabras
mi mamá está enojada,mamá mía enojada,20.0,4.0,4.0,4.25,1.0,16.0,3.0,3.0,4.666666666666667,1.0,1.0,0.75,4 palabras
mi papá está enojado,papá mío enojado,20.0,4.0,4.0,4.25,1.0,16.0,3.0,3.0,4.666666666666667,1.0,1.0,0.75,4 palabras
mi tía está enojada,tío mujer mía enojada,19.0,4.0,4.0,4.0,1.0,21.0,4.0,4.0,4.5,1.0,0.0,1.0,4 palabras
mi tío está enojado,tío mío enojado,19.0,4.0,4.0,4.0,1.0,15.0,3.0,3.0,4.333333333333333,1.0,1.0,0.75,4 palabras
mi abuela está enojada,abuelo mujer mía enojada,22.0,4.0,4.0,4.75,1.0,24.0,4.0,4.0,5.25,1.0,0.0,1.0,4 palabras
mi abuelo está enojado,abuelo mío enojado,22.0,4.0,4.0,4.75,1.0,18.0,3.0,3.0,5.333333333333333,1.0,1.0,0.75,4 palabras
mi amigo está enojado,amigo mío enojado,21.0,4.0,4.0,4.5,1.0,17.0,3.0,3.0,5.0,1.0,1.0,0.75,4 palabras
mi amiga está enojada,amigo mujer enojada,21.0,4.0,4.0,4.5,1.0,19.0,3.0,3.0,5.666666666666667,1.0,1.0,0.75,4 palabras
tu mamá está enojada,mamá tuya enojada,20.0,4.0,4.0,4.25,1.0,17.0,3.0,3.0,5.0,1.0,1.0,0.75,4 palabras
tu papá está enojado,papá tuyo enojado,20.0,4.0,4.0,4.25,1.0,17.0,3.0,3.0,5.0,1.0,1.0,0.75,4 palabras
tu tía está enojada,tío mujer tuya enojada,19.0,4.0,4.0,4.0,1.0,22.0,4.0,4.0,4.75,1.0,0.0,1.0,4 palabras
tu amiga está enojada,amiga tuya enojada,21.0,4.0,4.0,4.5,1.0,18.0,3.0,3.0,5.333333333333333,1.0,1.0,0.75,4 palabras
tu amigo está enojado,amigo tuyo enojado,21.0,4.0,4.0,4.5,1.0,18.0,3.0,3.0,5.333333333333333,1.0,1.0,0.75,4 palabras
tu tío está enojado,tío tuyo enojado,19.0,4.0,4.0,4.0,1.0,16.0,3.0,3.0,4.666666666666667,1.0,1.0,0.75,4 palabras
tu abuela está enojada,abuelo mujer tuya enojada,22.0,4.0,4.0,4.75,1.0,25.0,4.0,4.0,5.5,1.0,0.0,1.0,4 palabras
tu abuelo está enojado,abuelo tuyo enojado,22.0,4.0,4.0,4.75,1.0,19.0,3.0,3.0,5.666666666666667,1.0,1.0,0.75,4 palabras
tu prima está enojada,primo mujer tuya enojada,21.0,4.0,4.0,4.5,1.0,24.0,4.0,4.0,5.25,1.0,0.0,1.0,4 palabras
tu primo está enojado,primo tuyo enojado,21.0,4.0,4.0,4.5,1.0,18.0,3.0,3.0,5.333333333333333,1.0,1.0,0.75,4 palabras
los niños están enojados,niño ellos enojados,24.0,4.0,4.0,5.25,1.0,19.0,3.0,3.0,5.666666666666667,1.0,1.0,0.75,4 palabras
las niñas están enojadas,niño mujer ellas enojadas,24.0,4.0,4.0,5.25,1.0,25.0,4.0,4.0,5.5,1.0,0.0,1.0,4 palabras
la mujer está enojada,mujer enojada,21.0,4.0,4.0,4.5,1.0,13.0,2.0,2.0,6.0,1.0,2.0,0.5,4 palabras
la mujer es enojona,mujer enojona así,19.0,4.0,4.0,4.0,1.0,17.0,3.0,3.0,5.0,1.0,1.0,0.75,4 palabras
yo soy alegre,yo alegre así,13.0,3.0,3.0,3.6666666666666665,1.0,13.0,3.0,3.0,3.6666666666666665,1.0,0.0,1.0,3 palabras
tú eres alegre,tú alegre así,14.0,3.0,3.0,4.0,1.0,13.0,3.0,3.0,3.6666666666666665,1.0,0.0,1.0,3 palabras
él es alegre,él alegre así,12.0,3.0,3.0,3.3333333333333335,1.0,13.0,3.0,3.0,3.6666666666666665,1.0,0.0,1.0,3 palabras
nosotros somos alegres,nosotros alegres así,22.0,3.0,3.0,6.666666666666667,1.0,20.0,3.0,3.0,6.0,1.0,0.0,1.0,3 palabras
ustedes son alegres,ustedes alegres así,19.0,3.0,3.0,5.666666666666667,1.0,19.0,3.0,3.0,5.666666666666667,1.0,0.0,1.0,3 palabras
ellos son alegres,ellos alegres así,17.0,3.0,3.0,5.0,1.0,17.0,3.0,3.0,5.0,1.0,0.0,1.0,3 palabras
ellas son alegres,ellas alegres así,17.0,3.0,3.0,5.0,1.0,17.0,3.0,3.0,5.0,1.0,0.0,1.0,3 palabras
mi mamá es alegre,mamá mía alegre así,17.0,4.0,4.0,3.5,1.0,19.0,4.0,4.0,4.0,1.0,0.0,1.0,4 palabras
mi papá es alegre,papá mío alegre así,17.0,4.0,4.0,3.5,1.0,19.0,4.0,4.0,4.0,1.0,0.0,1.0,4 palabras
mi amigo es alegre,amigo mío alegre así,18.0,4.0,4.0,3.75,1.0,20.0,4.0,4.0,4.25,1.0,0.0,1.0,4 palabras
mi amiga es alegre,amigo mujer mía alegre así,18.0,4.0,4.0,3.75,1.0,26.0,5.0,5.0,4.4,1.0,-1.0,1.25,4 palabras
mi abuelo es alegre,abuelo mío alegre así,19.0,4.0,4.0,4.0,1.0,21.0,4.0,4.0,4.5,1.0,0.0,1.0,4 palabras
mi abuela es alegre,abuelo mujer mía alegre así,19.0,4.0,4.0,4.0,1.0,27.0,5.0,5.0,4.6,1.0,-1.0,1.25,4 palabras
mi tío es alegre,tío mío alegre así,16.0,4.0,4.0,3.25,1.0,18.0,4.0,4.0,3.75,1.0,0.0,1.0,4 palabras
mi tía es alegre,tío mujer mía alegre así,16.0,4.0,4.0,3.25,1.0,24.0,5.0,5.0,4.0,1.0,-1.0,1.25,4 palabras
mi novio es alegre,novio mío alegre así,18.0,4.0,4.0,3.75,1.0,20.0,4.0,4.0,4.25,1.0,0.0,1.0,4 palabras
la niña es alegre,niño mujer alegre así,17.0,4.0,4.0,3.5,1.0,21.0,4.0,4.0,4.5,1.0,0.0,1.0,4 palabras
el niño es alegre,niño alegre así,17.0,4.0,4.0,3.5,1.0,15.0,3.0,3.0,4.333333333333333,1.0,1.0,0.75,4 palabras
yo estoy alegre,yo alegre,15.0,3.0,3.0,4.333333333333333,1.0,9.0,2.0,2.0,4.0,1.0,1.0,0.6666666666666666,3 palabras
tú estás alegre,tú alegre,15.0,3.0,3.0,4.333333333333333,1.0,9.0,2.0,2.0,4.0,1.0,1.0,0.6666666666666666,3 palabras
él está alegre,él alegre,14.0,3.0,3.0,4.0,1.0,9.0,2.0,2.0,4.0,1.0,1.0,0.6666666666666666,3 palabras
nosotros estamos alegres,nosotros alegres,24.0,3.0,3.0,7.333333333333333,1.0,16.0,2.0,2.0,7.5,1.0,1.0,0.6666666666666666,3 palabras
ustedes están alegres,ustedes alegres,21.0,3.0,3.0,6.333333333333333,1.0,15.0,2.0,2.0,7.0,1.0,1.0,0.6666666666666666,3 palabras
ellos están alegres,ellos alegres,19.0,3.0,3.0,5.666666666666667,1.0,13.0,2.0,2.0,6.0,1.0,1.0,0.6666666666666666,3 palabras
ellas están alegres,ellas alegres,19.0,3.0,3.0,5.666666666666667,1.0,13.0,2.0,2.0,6.0,1.0,1.0,0.6666666666666666,3 palabras
mi mamá está alegre,mamá mía alegre,19.0,4.0,4.0,4.0,1.0,15.0,3.0,3.0,4.333333333333333,1.0,1.0,0.75,4 palabras
mi papá está alegre,papá mío alegre,19.0,4.0,4.0,4.0,1.0,15.0,3.0,3.0,4.333333333333333,1.0,1.0,0.75,4 palabras
mi amigo está alegre,amigo mío alegre,20.0,4.0,4.0,4.25,1.0,16.0,3.0,3.0,4.666666666666667,1.0,1.0,0.75,4 palabras
mi amiga está alegre,amigo mujer mía alegre,20.0,4.0,4.0,4.25,1.0,22.0,4.0,4.0,4.75,1.0,0.0,1.0,4 palabras
mi abuelo está alegre,abuelo mío alegre,21.0,4.0,4.0,4.5,1.0,17.0,3.0,3.0,5.0,1.0,1.0,0.75,4 palabras
mi abuela está alegre,abuelo mujer mía alegre,21.0,4.0,4.0,4.5,1.0,23.0,4.0,4.0,5.0,1.0,0.0,1.0,4 palabras
mi tío está alegre,tío mío alegre,18.0,4.0,4.0,3.75,1.0,14.0,3.0,3.0,4.0,1.0,1.0,0.75,4 palabras
mi tía está alegre,tío mujer mía alegre,18.0,4.0,4.0,3.75,1.0,20.0,4.0,4.0,4.25,1.0,0.0,1.0,4 palabras
mi novio es alegre,novio mío alegre,18.0,4.0,4.0,3.75,1.0,16.0,3.0,3.0,4.666666666666667,1.0,1.0,0.75,4 palabras
la niña está alegre,niño mujer alegre,19.0,4.0,4.0,4.0,1.0,17.0,3.0,3.0,5.0,1.0,1.0,0.75,4 palabras
el niño está alegre,niño alegre,19.0,4.0,4.0,4.0,1.0,11.0,2.0,2.0,5.0,1.0,2.0,0.5,4 palabras
las niñas están alegres,niño mujer ellas alegres,23.0,4.0,4.0,5.0,1.0,24.0,4.0,4.0,5.25,1.0,0.0,1.0,4 palabras
los niños están alegres,niño ellos alegres,23.0,4.0,4.0,5.0,1.0,18.0,3.0,3.0,5.333333333333333,1.0,1.0,0.75,4 palabras
las mujeres están cansadas,mujer ellas cansadas,26.0,4.0,4.0,5.75,1.0,20.0,3.0,3.0,6.0,1.0,1.0,0.75,4 palabras
el niño es gordo,niño gordo,16.0,4.0,4.0,3.25,1.0,10.0,2.0,2.0,4.5,1.0,2.0,0.5,4 palabras
la niña es gorda,niño mujer gorda,16.0,4.0,4.0,3.25,1.0,16.0,3.0,3.0,4.666666666666667,1.0,1.0,0.75,4 palabras
el niño,niño,7.0,2.0,2.0,3.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,0.5,2 palabras
los niños parecen felices,niño ellos parecen felices,25.0,4.0,4.0,5.5,1.0,26.0,4.0,4.0,5.75,1.0,0.0,1.0,4 palabras
los niños son felices,niño ellos feliz así,21.0,4.0,4.0,4.5,1.0,20.0,4.0,4.0,4.25,1.0,0.0,1.0,4 palabras
los niños están felices,niño ellos feliz,23.0,4.0,4.0,5.0,1.0,16.0,3.0,3.0,4.666666666666667,1.0,1.0,0.75,4 palabras
el niño está feliz,niño feliz,18.0,4.0,4.0,3.75,1.0,10.0,2.0,2.0,4.5,1.0,2.0,0.5,4 palabras
el niño es feliz,niño feliz así,16.0,4.0,4.0,3.25,1.0,14.0,3.0,3.0,4.0,1.0,1.0,0.75,4 palabras
el niño llora,niño llora,13.0,3.0,3.0,3.6666666666666665,1.0,10.0,2.0,2.0,4.5,1.0,1.0,0.6666666666666666,3 palabras
los niños están felices,niño ellos felices,23.0,4.0,4.0,5.0,1.0,18.0,3.0,3.0,5.333333333333333,1.0,1.0,0.75,4 palabras
los niños parecen felices,niño ellos parecen felices,25.0,4.0,4.0,5.5,1.0,26.0,4.0,4.0,5.75,1.0,0.0,1.0,4 palabras
la niña está triste,niño mujer triste,19.0,4.0,4.0,4.0,1.0,17.0,3.0,3.0,5.0,1.0,1.0,0.75,4 palabras
las mujeres están tristes,mujer ellas tristes,25.0,4.0,4.0,5.5,1.0,19.0,3.0,3.0,5.666666666666667,1.0,1.0,0.75,4 palabras
los hombres están tristes,hombre ellos tristes,25.0,4.0,4.0,5.5,1.0,20.0,3.0,3.0,6.0,1.0,1.0,0.75,4 palabras
los hombres están nerviosos,hombre ellos nerviosos,27.0,4.0,4.0,6.0,1.0,22.0,3.0,3.0,6.666666666666667,1.0,1.0,0.75,4 palabras
los niños están impacientes,niño ellos impacientes,27.0,4.0,4.0,6.0,1.0,22.0,3.0,3.0,6.666666666666667,1.0,1.0,0.75,4 palabras
las niñas están impacientes,niño mujer ellas impacientes,27.0,4.0,4.0,6.0,1.0,28.0,4.0,4.0,6.25,1.0,0.0,1.0,4 palabras
las niñas están felices,niño mujer ellas felices,23.0,4.0,4.0,5.0,1.0,24.0,4.0,4.0,5.25,1.0,0.0,1.0,4 palabras
la maestra es gorda,maestro mujer gorda,19.0,4.0,4.0,4.0,1.0,19.0,3.0,3.0,5.666666666666667,1.0,1.0,0.75,4 palabras
la niña,niño mujer,7.0,2.0,2.0,3.0,1.0,10.0,2.0,2.0,4.5,1.0,0.0,1.0,2 palabras
"la bandera es verde, blanco y rojo",bandera verde blanco rojo,34.0,7.0,7.0,3.857142857142857,1.0,25.0,4.0,4.0,5.5,1.0,3.0,0.5714285714285714,≥7 palabras
mi papá tiene un carro azul,papá mío carro azul tener,27.0,6.0,6.0,3.6666666666666665,1.0,25.0,5.0,5.0,4.2,1.0,1.0,0.8333333333333334,6 palabras
mi mamá usa un vestido rojo,mamá mía vestido rojo usar,27.0,6.0,6.0,3.6666666666666665,1.0,26.0,5.0,5.0,4.4,1.0,1.0,0.8333333333333334,6 palabras
mi perro come carne roja,perro mío carne roja comer,24.0,5.0,5.0,4.0,1.0,26.0,5.0,5.0,4.4,1.0,0.0,1.0,5 palabras
mi tía corta el pasto seco,tío mujer mía pasto verde cortar,26.0,6.0,6.0,3.5,1.0,32.0,6.0,6.0,4.5,1.0,0.0,1.0,6 palabras
tu abuela prepara chocolate caliente,abuela tuya chocolate caliente preparar,36.0,5.0,5.0,6.4,1.0,39.0,5.0,5.0,7.0,1.0,0.0,1.0,5 palabras
mi novio tiene lentes redondos,novio mío lentes redondos tener,30.0,5.0,5.0,5.2,1.0,31.0,5.0,5.0,5.4,1.0,0.0,1.0,5 palabras
tu tía maneja un carro pequeño,tía tuya carro pequeño manejar,30.0,6.0,6.0,4.166666666666667,1.0,30.0,5.0,5.0,5.2,1.0,1.0,0.8333333333333334,6 palabras
mi prima fue a una fiesta ayer,ayer fiesta primo mujer ir,30.0,7.0,7.0,3.4285714285714284,1.0,26.0,5.0,5.0,4.4,1.0,2.0,0.7142857142857143,≥7 palabras
el murió ayer,ayer el morir,13.0,3.0,3.0,3.6666666666666665,1.0,13.0,3.0,3.0,3.6666666666666665,1.0,0.0,1.0,3 palabras
ayer estuve ocupada,ayer yo ocupado estar,19.0,3.0,3.0,5.666666666666667,1.0,21.0,4.0,4.0,4.5,1.0,-1.0,1.3333333333333333,3 palabras
ayer estuve ocupado,ayer yo ocupado estar,19.0,3.0,3.0,5.666666666666667,1.0,21.0,4.0,4.0,4.5,1.0,-1.0,1.3333333333333333,3 palabras
ayer hacía calor,ayer calor,16.0,3.0,3.0,4.666666666666667,1.0,10.0,2.0,2.0,4.5,1.0,1.0,0.6666666666666666,3 palabras
ayer hacía frío,ayer frío,15.0,3.0,3.0,4.333333333333333,1.0,9.0,2.0,2.0,4.0,1.0,1.0,0.6666666666666666,3 palabras
murió ayer,ayer el morir,10.0,2.0,2.0,4.5,1.0,13.0,3.0,3.0,3.6666666666666665,1.0,-1.0,1.5,2 palabras
hablamos ayer,ayer nosotros hablar,13.0,2.0,2.0,6.0,1.0,20.0,3.0,3.0,6.0,1.0,-1.0,1.5,2 palabras
habló ayer,ayer yo hablar,10.0,2.0,2.0,4.5,1.0,14.0,3.0,3.0,4.0,1.0,-1.0,1.5,2 palabras
hablaron ayer,ayer ustedes hablar,13.0,2.0,2.0,6.0,1.0,19.0,3.0,3.0,5.666666666666667,1.0,-1.0,1.5,2 palabras
hablaron ayer,ayer ellos hablar,13.0,2.0,2.0,6.0,1.0,17.0,3.0,3.0,5.0,1.0,-1.0,1.5,2 palabras
hablaron ayer,ayer ellas hablar,13.0,2.0,2.0,6.0,1.0,17.0,3.0,3.0,5.0,1.0,-1.0,1.5,2 palabras
hablaste ayer,ayer tú hablaste,13.0,2.0,2.0,6.0,1.0,16.0,3.0,3.0,4.666666666666667,1.0,-1.0,1.5,2 palabras
murió ayer,ayer ella morir,10.0,2.0,2.0,4.5,1.0,15.0,3.0,3.0,4.333333333333333,1.0,-1.0,1.5,2 palabras
ayer vino TOM,ayer TOM venir,13.0,3.0,3.0,3.6666666666666665,1.0,14.0,3.0,3.0,4.0,1.0,0.0,1.0,3 palabras
mi primo fue a la escuela ayer,ayer escuela primo mío ir,30.0,7.0,7.0,3.4285714285714284,1.0,25.0,5.0,5.0,4.2,1.0,2.0,0.7142857142857143,≥7 palabras
ayer hizo calor,ayer calor,15.0,3.0,3.0,4.333333333333333,1.0,10.0,2.0,2.0,4.5,1.0,1.0,0.6666666666666666,3 palabras
ayer nevó,ayer nevar,9.0,2.0,2.0,4.0,1.0,10.0,2.0,2.0,4.5,1.0,0.0,1.0,2 palabras
ayer comí huevos,ayer yo huevos comer,16.0,3.0,3.0,4.666666666666667,1.0,20.0,4.0,4.0,4.25,1.0,-1.0,1.3333333333333333,3 palabras
comí pescado ayer,ayer yo pescado comer,17.0,3.0,3.0,5.0,1.0,21.0,4.0,4.0,4.5,1.0,-1.0,1.3333333333333333,3 palabras
ayer comí pescado,ayer yo pescado comer,17.0,3.0,3.0,5.0,1.0,21.0,4.0,4.0,4.5,1.0,-1.0,1.3333333333333333,3 palabras
estuve enfermo ayer,ayer yo enfermo,19.0,3.0,3.0,5.666666666666667,1.0,15.0,3.0,3.0,4.333333333333333,1.0,0.0,1.0,3 palabras
ayer estaba enfermo,ayer yo enfermo,19.0,3.0,3.0,5.666666666666667,1.0,15.0,3.0,3.0,4.333333333333333,1.0,0.0,1.0,3 palabras
estuve ocupado la semana pasada,semana pasada yo ocupado estar,31.0,5.0,5.0,5.4,1.0,30.0,5.0,5.0,5.2,1.0,0.0,1.0,5 palabras
estuve ocupada la semana pasada,semana pasada yo ocupada estar,31.0,5.0,5.0,5.4,1.0,30.0,5.0,5.0,5.2,1.0,0.0,1.0,5 palabras
el anciano murió la semana pasada,semana pasada anciano morir,33.0,6.0,6.0,4.666666666666667,1.0,27.0,4.0,4.0,6.0,1.0,2.0,0.6666666666666666,6 palabras
la semana pasada estaba en el hospital,semana pasada hospital yo estar,38.0,7.0,7.0,4.571428571428571,1.0,31.0,5.0,5.0,5.4,1.0,2.0,0.7142857142857143,≥7 palabras
estuve en el hospital la semana pasada,semana pasada hospital yo estar,38.0,7.0,7.0,4.571428571428571,1.0,31.0,5.0,5.0,5.4,1.0,2.0,0.7142857142857143,≥7 palabras
ella se fue de viaje la semana pasada,semana pasada ella viajar,37.0,8.0,8.0,3.75,1.0,25.0,4.0,4.0,5.5,1.0,4.0,0.5,≥7 palabras
recibí una carta la semana pasada,semana pasada yo carta recibir,33.0,6.0,6.0,4.666666666666667,1.0,30.0,5.0,5.0,5.2,1.0,1.0,0.8333333333333334,6 palabras
recibí un correo la semana pasada,semana pasada yo correo recibir,33.0,6.0,6.0,4.666666666666667,1.0,31.0,5.0,5.0,5.4,1.0,1.0,0.8333333333333334,6 palabras
la semana pasada comí pizza todos los días,semana pasada todos los días yo pizza comer,42.0,8.0,8.0,4.375,1.0,43.0,8.0,8.0,4.5,1.0,0.0,1.0,≥7 palabras
él fue a la playa la semana pasada,semana pasada playa él ir,34.0,8.0,7.0,3.375,0.875,25.0,5.0,5.0,4.2,1.0,3.0,0.625,≥7 palabras
ella compró un coche la semana pasada,semana pasada ella coche comprar,37.0,7.0,7.0,4.428571428571429,1.0,32.0,5.0,5.0,5.6,1.0,2.0,0.7142857142857143,≥7 palabras
él hizo eso la semana pasada,semana pasada éleso hacer,28.0,6.0,6.0,3.8333333333333335,1.0,25.0,4.0,4.0,5.5,1.0,2.0,0.6666666666666666,6 palabras
fui a ver a su hermana la semana pasada,"semana pasada hermana suya ella, yo ver",39.0,9.0,8.0,3.4444444444444446,0.8888888888888888,39.0,7.0,7.0,4.571428571428571,1.0,2.0,0.7777777777777778,≥7 palabras
su padre murió la semana pasada,semana pasada padre suyo morir,31.0,6.0,6.0,4.333333333333333,1.0,30.0,5.0,5.0,5.2,1.0,1.0,0.8333333333333334,6 palabras
¿cuántos plátanos te comiste la semana pasada?,¿semana pasada tú platanos comer cuántos?,46.0,7.0,7.0,5.428571428571429,1.0,41.0,6.0,6.0,5.666666666666667,1.0,1.0,0.8571428571428571,≥7 palabras
¿cuánto dinero gastaste la semana pasada?,¿semana pasada tú dinero gastar cuánto?,41.0,6.0,6.0,5.666666666666667,1.0,39.0,6.0,6.0,5.333333333333333,1.0,0.0,1.0,6 palabras
Él fue a Estados Unidos la semana pasada,semana pasada Estados Unidos él ir,40.0,8.0,8.0,4.125,1.0,34.0,6.0,6.0,4.833333333333333,1.0,2.0,0.75,≥7 palabras
ayer estaba enferma,ayer yo enfermo,19.0,3.0,3.0,5.666666666666667,1.0,15.0,3.0,3.0,4.333333333333333,1.0,0.0,1.0,3 palabras
fui a la escuela ayer,ayer escuela yo ir,21.0,5.0,5.0,3.4,1.0,18.0,4.0,4.0,3.75,1.0,1.0,0.8,5 palabras
ayer fue lunes,ayer lunes,14.0,3.0,3.0,4.0,1.0,10.0,2.0,2.0,4.5,1.0,1.0,0.6666666666666666,3 palabras
comí curri ayer,ayer yo curri comer,15.0,3.0,3.0,4.333333333333333,1.0,19.0,4.0,4.0,4.0,1.0,-1.0,1.3333333333333333,3 palabras
¿estudiaste ayer?,¿ayer tú estudiar?,17.0,2.0,2.0,7.0,1.0,18.0,3.0,3.0,4.666666666666667,1.0,-1.0,1.5,2 palabras
¿Hizo frío ayer?,¿ayer frío?,16.0,3.0,3.0,4.0,1.0,11.0,2.0,2.0,4.0,1.0,1.0,0.6666666666666666,3 palabras
ayer estaba nublado,ayer nublado,19.0,3.0,3.0,5.666666666666667,1.0,12.0,2.0,2.0,5.5,1.0,1.0,0.6666666666666666,3 palabras
nos conocimos ahí ayer,ayer ahí nosotros conocer,22.0,4.0,4.0,4.75,1.0,25.0,4.0,4.0,5.5,1.0,0.0,1.0,4 palabras
pasó ayer,ayer pasar,9.0,2.0,2.0,4.0,1.0,10.0,2.0,2.0,4.5,1.0,0.0,1.0,2 palabras
¿nadaste ayer?,¿ayer tú nadar?,14.0,2.0,2.0,5.5,1.0,15.0,3.0,3.0,3.6666666666666665,1.0,-1.0,1.5,2 palabras
¿trabajaste ayer?,¿ayer tú trabajar?,17.0,2.0,2.0,7.0,1.0,18.0,3.0,3.0,4.666666666666667,1.0,-1.0,1.5,2 palabras
ocurrió ayer,ayer ocurrir,12.0,2.0,2.0,5.5,1.0,12.0,2.0,2.0,5.5,1.0,0.0,1.0,2 palabras
